compound	modifier1	head
Konsumgesellschaft	Konsum	Gesellschaft
Konsumgut	Konsum	Gut
Konsumgüterindustrie	Konsumgut	Industrie
Konsumrausch	Konsum	Rausch
Konsumverein	Konsum	Verein
Konsumverhalten	Konsum	Verhalten
Konsumverzicht	Konsum	Verzicht
Kontaktabzug	Kontakt	Abzug
Kontaktadresse	Kontakt	Adresse
Kontaktallergie	Kontakt	Allergie
Kontaktanzeige	Kontakt	Anzeige
Kontaktarmut	Kontakt	Armut
Kontaktaufnahme	Kontakt	Aufnahme
Kontaktbörse	Kontakt	Börse
Kontaktdaten	Kontakt	Datum
Kontaktfläche	Kontakt	Fläche
Kontaktformular	Kontakt	Formular
Kontaktfreude	Kontakt	Freude
Kontaktgift	Kontakt	Gift
Kontaktinfektion	Kontakt	Infektion
Kontaktknopf	Kontakt	Knopf
Kontaktlinse	Kontakt	Linse
Kontaktmann	Kontakt	Mann
Kontaktmöglichkeit	Kontakt	Möglichkeit
Kontaktperson	Kontakt	Person
Kontaktpflege	Kontakt	Pflege
Kontaktschiefer	Kontakt	Schiefer
Kontaktschwierigkeiten	Kontakt	Schwierigkeiten
Kontaktstelle	Kontakt	Stelle
Kontaktstift	Kontakt	Stift
Kontaktsuche	Kontakt	Suche
Kontaktzone	Kontakt	Zone
Kontenbuch	Konto	Buch
Konteradmiral	Konter	Admiral
Konterangriff	Konter|kontern	Angriff
Konterattacke	Konter|kontern	Attacke
Konterboxer	Konter|kontern	Boxer
Konterschlag	Konter|kontern	Schlag
Konterstoß	Konter|kontern	Stoß
Kontertor	Konter|kontern	Tor
Kontextmenü	Kontext	Menü
Kontierungsfall	Kontierung	Fall
Kontinentalarmee	kontinental	Armee
Kontinentalbürger	kontinental	Bürger
Kontinentaldrift	kontinental	Drift
Kontinentaleuropa	kontinental	Europa
Kontinentalklima	kontinental	Klima
Kontinentalkongress	kontinental	Kongress
Kontinentalplatte	kontinental	Platte
Kontinentalschelf	kontinental	Schelf
Kontinentalsockel	kontinental	Sockel
Kontinentalsperre	kontinental	Sperre
Kontinentalverband	kontinental	Verband
Kontinentalverschiebung	kontinental	Verschiebung
Kontinuitätsgleichung	Kontinuität	Gleichung
Kontoart	Konto	Art
Kontoauszug	Konto	Auszug
Kontobewegung	Konto	Bewegung
Kontoführung	Konto	Führung
Kontoführungsgebühr	Kontoführung	Gebühr
Kontogebühr	Konto	Gebühr
Kontoinhaber	Konto	Inhaber
Kontonummer	Konto	Nummer
Kontostand	Konto	Stand
Kontrafagott	kontra	Fagott
Kontrahierungszwang	Kontrahierung	Zwang
Kontrastfarbe	Kontrast	Farbe
Kontrastfilter	Kontrast	Filter
Kontrastmittel	Kontrast	Mittel
Kontrastprogramm	Kontrast	Programm
Kontrastumfang	Kontrast	Umfang
Kontrollarbeit	Kontrolle	Arbeit
Kontrollaufgabe	Kontrolle	Aufgabe
Kontrollbehörde	Kontrolle	Behörde
Kontrollbuch	Kontrolle	Buch
Kontrollergebnis	Kontrolle	Ergebnis
Kontrollfunktion	Kontrolle	Funktion
Kontrollgang	Kontrolle	Gang
Kontrollgerät	Kontrolle	Gerät
Kontrollgremium	Kontrolle	Gremium
Kontrollgruppe	Kontrolle	Gruppe
Kontrollinstanz	Kontrolle	Instanz
Kontrollkommission	Kontrolle	Kommission
Kontrollleuchte	Kontrolle	Leuchte
Kontrollliste	Kontrolle	Liste
Kontrollmaßnahme	Kontrolle	Maßnahme
Kontrollmechanismus	Kontrolle	Mechanismus
Kontrollmessung	Kontrolle	Messung
Kontrollmöglichkeit	Kontrolle	Möglichkeit
Kontrollorgan	Kontrolle	Organ
Kontrollperson	Kontrolle	Person
Kontrollpunkt	Kontrolle	Punkt
Kontrollrat	Kontrolle	Rat
Kontrollratsgesetz	Kontrollrat	Gesetz
Kontrollraum	Kontrolle	Raum
Kontrollstab	Kontrolle	Stab
Kontrollstation	Kontrolle	Station
Kontrollstelle	Kontrolle	Stelle
Kontrollstruktur	Kontrolle	Struktur
Kontrollsystem	Kontrolle	System
Kontrollturm	Kontrolle	Turm
Kontrolluntersuchung	Kontrolle	Untersuchung
Kontrollverfahren	Kontrolle	Verfahren
Kontrollverlust	Kontrolle	Verlust
Kontrollvermessung	Kontrolle	Vermessung
Kontrollwert	Kontrolle	Wert
Kontrollzentrum	Kontrolle	Zentrum
Kontrollzone	Kontrolle	Zone
Konturenbearbeitung	Kontur	Bearbeitung
Konventionalstrafe	konventional	Strafe
Konventsgebäude	Konvent	Gebäude
Konvergenzkriterium	Konvergenz	Kriterium
Konvergenzzone	Konvergenz	Zone
Konversationslexikon	Konversation	Lexikon
Konvexlinse	konvex	Linse
Konzentrationsfähigkeit	Konzentration	Fähigkeit
Konzentrationsgefälle	Konzentration	Gefälle
Konzentrationslager	Konzentration	Lager
Konzentrationsprozess	Konzentration	Prozess
Konzentrationsschwäche	Konzentration	Schwäche
Konzentrationsstörung	Konzentration	Störung
Konzentrationsübung	Konzentration	Übung
Konzeptalbum	Konzept	Album
Konzeptionsphase	Konzeption	Phase
Konzeptkunst	Konzept	Kunst
Konzeptstudie	Konzept	Studie
Konzernabschluss	Konzern	Abschluss
Konzernbereich	Konzern	Bereich
Konzernchef	Konzern	Chef
Konzernergebnis	Konzern	Ergebnis
Konzerngesellschaft	Konzern	Gesellschaft
Konzerngewinn	Konzern	Gewinn
Konzernleitung	Konzern	Leitung
Konzernmutter	Konzern	Mutter
Konzernsitz	Konzern	Sitz
Konzernspitze	Konzern	Spitze
Konzerntochter	Konzern	Tochter
Konzernumsatz	Konzern	Umsatz
Konzernunternehmen	Konzern	Unternehmen
Konzernvorstand	Konzern	Vorstand
Konzernzentrale	Konzern	Zentrale
Konzertabend	Konzert	Abend
Konzertagentur	Konzert	Agentur
Konzertaufnahme	Konzert	Aufnahme
Konzertauftritt	Konzert	Auftritt
Konzertbeginn	Konzert	Beginn
Konzertbesuch	Konzert	Besuch
Konzertbesucher	Konzert	Besucher
Konzertbetrieb	Konzert	Betrieb
Konzertbühne	Konzert	Bühne
Konzertexamen	Konzert	Examen
Konzertflügel	Konzert	Flügel
Konzertgenuss	Konzert	Genuss
Konzertgitarre	Konzert	Gitarre
Konzerthalle	Konzert	Halle
Konzerthaus	Konzert	Haus
Konzertkarte	Konzert	Karte
Konzertleben	Konzert	Leben
Konzertmeister	Konzert	Meister
Konzertmitschnitt	Konzert	Mitschnitt
Konzertmusik	Konzert	Musik
Konzertpianist	Konzert	Pianist
Konzertpodium	Konzert	Podium
Konzertprogramm	Konzert	Programm
Konzertreihe	Konzert	Reihe
Konzertreise	Konzert	Reise
Konzertrepertoire	Konzert	Repertoire
Konzertsaal	Konzert	Saal
Konzertsaison	Konzert	Saison
Konzertsänger	Konzert	Sänger
Konzertsängerin	Konzert	Sängerin
Konzertstück	Konzert	Stück
Konzerttätigkeit	Konzert	Tätigkeit
Konzerttermin	Konzert	Termin
Konzertticket	Konzert	Ticket
Konzerttour	Konzert	Tour
Konzerttournee	Konzert	Tournee
Konzertveranstalter	Konzert	Veranstalter
Konzertveranstaltung	Konzert	Veranstaltung
Konzessionsvertrag	Konzession	Vertrag
Konzessivsatz	konzessiv	Satz
Konzilsvater	Konzil	Vater
Kooperationsabkommen	Kooperation	Abkommen
Kooperationsbereitschaft	Kooperation	Bereitschaft
Kooperationspakt	Kooperation	Pakt
Kooperationspartner	Kooperation	Partner
Kooperationsprojekt	Kooperation	Projekt
Kooperationsvereinbarung	Kooperation	Vereinbarung
Kooperationsvertrag	Kooperation	Vertrag
Koordinatenachse	Koordinate	Achse
Koordinatendarstellung	Koordinate	Darstellung
Koordinatennetz	Koordinate	Netz
Koordinatensystem	Koordinate	System
Koordinatentransformation	Koordinate	Transformation
Koordinatenursprung	Koordinate	Ursprung
Koordinationsstelle	Koordination	Stelle
Koordinationsstörung	Koordination	Störung
Koordinierungsstelle	Koordinierung	Stelle
Köperbindung	Köper	Bindung
Kopfairbag	Kopf	Airbag
Kopf-An-Kopf-Rennen	Kopf an Kopf	Rennen
Kopfbahnhof	Kopf	Bahnhof
Kopfball	Kopf	Ball
Kopfballtor	Kopfball	Tor
Kopfballtreffer	Kopfball	Treffer
Kopfbau	Kopf	Bau
Kopfbedeckung	Kopf	Bedeckung
Kopfbereich	Kopf	Bereich
Kopfbewegung	Kopf	Bewegung
Kopfende	Kopf	Ende
Kopfform	Kopf	Form
Kopfgefieder	Kopf	Gefieder
Kopfgeld	Kopf	Geld
Kopfgeldjäger	Kopfgeld	Jäger
Kopfhaar	Kopf	Haar
Kopfhalter	Kopf	Halter
Kopfhaltung	Kopf	Haltung
Kopfhaut	Kopf	Haut
Kopfhöhe	Kopf	Höhe
Kopfhörer	Kopf	Hörer
Kopfhörerbügel	Kopfhörer	Bügel
Kopfjagd	Kopf	Jagd
Kopfkäfer	Kopf	Käfer
Kopfkissen	Kopf	Kissen
Kopfkissenbezug	Kopfkissen	Bezug
Kopflaus	Kopf	Laus
Kopfleiste	Kopf	Leiste
Kopfnicken	Kopf	Nicken
Kopfnote	Kopf	Note
Kopfnuss	Kopf	Nuss
Kopfoberseite	Kopf	Oberseite
Kopfplatte	Kopf	Platte
Kopfputz	Kopf	Putz
Kopfrumpflänge	Kopf Rumpf	Rumpflänge
Kopf-Rumpf-Länge	Kopf Rumpf	Länge
Kopfsalat	Kopf	Salat
Kopfsatz	Kopf	Satz
Kopfschmerz	Kopf	Schmerz
Kopfschmerztablette	Kopfschmerz	Tablette
Kopfschmuck	Kopf	Schmuck
Kopfschuppe	Kopf	Schuppe
Kopfschuss	Kopf	Schuss
Kopfschütteln	Kopf	Schütteln
Kopfschutz	Kopf	Schutz
Kopfseite	Kopf	Seite
Kopfsimse	Kopf	Simse
Kopfsprung	Kopf	Sprung
Kopfstand	Kopf	Stand
Kopfstein	Kopf	Stein
Kopfsteinpflaster	Kopfstein	Pflaster
Kopfsteuer	Kopf	Steuer
Kopfstimme	Kopf	Stimme
Kopfstoß	Kopf	Stoß
Kopfstück	Kopf	Stück
Kopfstütze	Kopf	Stütze
Kopfteil	Kopf	Teil
Kopftuch	Kopf	Tuch
Kopftuchverbot	Kopftuch	Verbot
Kopfverletzung	Kopf	Verletzung
Kopfweh	Kopf	Weh
Kopfweide	Kopf	Weide
Kopfzeile	Kopf	Zeile
Kopfzerbrechen	Kopf	Zerbrechen
Kopialbuch	Kopial	Buch
Kopiergerät	kopieren	Gerät
Kopiermaschine	kopieren	Maschine
Kopierpapier	kopieren	Papier
Kopierschutz	kopieren	Schutz
Kopierschutzverfahren	Kopierschutz	Verfahren
Kopiervorgang	kopieren	Vorgang
Kopiervorlage	kopieren	Vorlage
Kopierwerk	kopieren	Werk
Koppelauslauf	Koppel	Auslauf
Koppelumzäunung	Koppel	Umzäunung
Kopplungsmanöver	Kopplung	Manöver
Korallenbank	Koralle	Bank
Korallenfisch	Koralle	Fisch
Koralleninsel	Koralle	Insel
Korallenmeer	Koralle	Meer
Korallenpolyp	Koralle	Polyp
Korallenriff	Koralle	Riff
Korallenstock	Koralle	Stock
Korallenwurz	Koralle	Wurz
Koranexegese	Koran	Exegese
Koranschule	Koran	Schule
Koransure	Koran	Sure
Koranvers	Koran	Vers
Korbball	Korb	Ball
Korbballspieler	Korbball	Spieler
Korbblütler	Korb	Blütler
Körbchengröße	Körbchen	Größe
Korbflasche	Korb	Flasche
Korbflechter	Korb	Flechter
Korbmacher	Korb	Macher
Korbmuschel	Korb	Muschel
Korbsessel	Korb	Sessel
Korbstuhl	Korb	Stuhl
Korbware	Korb	Ware
Korbwarenmacher	Korbware	Macher
Korbweide	Korb	Weide
Kordeleinlage	Kordel	Einlage
Koreakrieg	Korea	Krieg
Korinthenbrot	Korinthe	Brot
Korinthenkacker	Korinthe	Kacker
Korintherbrief	Korinther	Brief
Korkeiche	Kork	Eiche
Korkenzieher	Korken	Zieher
Kornanteil	Korn	Anteil
Kornblume	Korn	Blume
Kornelkirsche	Kornel	Kirsche
Kornfeld	Korn	Feld
Korngrenze	Korn	Grenze
Korngröße	Korn	Größe
Korngrößenaufbau	Korngröße	Aufbau
Korngrößenverteilung	Korngröße	Verteilung
Kornhaus	Korn	Haus
Kornkäfer	Korn	Käfer
Kornkammer	Korn	Kammer
Kornklasse	Korn	Klasse
Kornkreis	Korn	Kreis
Kornmühle	Korn	Mühle
Kornrade	Korn	Rade
Kornspeicher	Korn	Speicher
Kornvogel	Korn	Vogel
Kornweihe	Korn	Weihe
Koronararterie	koronar	Arterie
Körperabschnitt	Körper	Abschnitt
Körperachse	Körper	Achse
Körperausgang	Körper	Ausgang
Körperausscheidung	Körper	Ausscheidung
Körperbau	Körper	Bau
Körperbehaarung	Körper	Behaarung
Körperbeherrschung	Körper	Beherrschung
Körperbehinderung	Körper	Behinderung
Körperbemalung	Körper	Bemalung
Körperbereich	Körper	Bereich
Körperbewegung	Körper	Bewegung
Körperbild	Körper	Bild
Körperdichte	Körper	Dichte
Körperertüchtigung	Körper	Ertüchtigung
Körpererziehung	Körper	Erziehung
Körperfalte	Körper	Falte
Körperfarbe	Körper	Farbe
Körperfärbung	Körper	Färbung
Körperfett	Körper	Fett
Körperflüssigkeit	Körper	Flüssigkeit
Körperform	Körper	Form
Körperfülle	Körper	Fülle
Körperfunktion	Körper	Funktion
Körpergefühl	Körper	Gefühl
Körpergeruch	Körper	Geruch
Körpergewebe	Körper	Gewebe
Körpergewicht	Körper	Gewicht
Körpergröße	Körper	Größe
Körperhaar	Körper	Haar
Körperhälfte	Körper	Hälfte
Körperhaltung	Körper	Haltung
Körperhöhe	Körper	Höhe
Körperhöhle	Körper	Höhle
Körperhygiene	Körper	Hygiene
Körperinnere	Körper	Innere
Körperkontakt	Körper	Kontakt
Körperkraft	Körper	Kraft
Körperkreislauf	Körper	Kreislauf
Körperkultur	Körper	Kultur
Körperlage	Körper	Lage
Körperlänge	Körper	Länge
Körperlängsachse	Körper	Längsachse
Körperlinie	Körper	Linie
Körperlotion	Körper	Lotion
Körpermaß	Körper	Maß
Körpermerkmal	Körper	Merkmal
Körpermilch	Körper	Milch
Körpermitte	Körper	Mitte
Körperoberfläche	Körper	Oberfläche
Körperoberseite	Körper	Oberseite
Körperöffnung	Körper	Öffnung
Körperpartie	Körper	Partie
Körperpflege	Körper	Pflege
Körperpflegemittel	Körper	Pflegemittel
Körperpflegeprodukt	Körperpflege	Produkt
Körperproblem	Körper	Problem
Körperproportion	Körper	Proportion
Körperpsychotherapie	Körper	Psychotherapie
Körperregion	Körper	Region
Körpersaft	Körper	Saft
Körperschaftsstatus	Körperschaft	Status
Körperschaftssteuer	Körperschaft	Steuer
Körperschall	Körper	Schall
Körperschmuck	Körper	Schmuck
Körperschwerpunkt	Körper	Schwerpunkt
Körperseite	Körper	Seite
Körpersprache	Körper	Sprache
Körperstelle	Körper	Stelle
Körperstrafe	Körper	Strafe
Körperstruktur	Körper	Struktur
Körpersubstanz	Körper	Substanz
Körperteil	Körper	Teil
Körpertemperatur	Körper	Temperatur
Körpertherapie	Körper	Therapie
Körperumfang	Körper	Umfang
Körperunterseite	Körper	Unterseite
Körperverletzung	Körper	Verletzung
Körperwahrnehmung	Körper	Wahrnehmung
Körperwärme	Körper	Wärme
Körperzelle	Körper	Zelle
Körperzone	Körper	Zone
Korporationsverband	Korporation	Verband
Korpsgeist	Korps	Geist
Korrekturfaktor	Korrektur	Faktor
Korrekturlese	Korrektur	Lese
Korrekturlesen	Korrektur	Lesen
Korrekturmaßnahme	Korrektur	Maßnahme
Korrekturmittel	Korrektur	Mittel
Korrelationskoeffizient	Korrelation	Koeffizient
Korrespondenzanwalt	Korrespondenz	Anwalt
Korrespondenzbank	Korrespondenz	Bank
Korrosionsfestigkeit	Korrosion	Festigkeit
Korrosionsschaden	Korrosion	Schaden
Korrosionsschutz	Korrosion	Schutz
Korrosionsschutzmaßnahme	Korrosionsschutz	Maßnahme
Korrosionsschutzmittel	Korrosionsschutz	Mittel
Korruptionsaffäre	Korruption	Affäre
Korruptionsfall	Korruption	Fall
Korruptionsskandal	Korruption	Skandal
Korruptionsverdacht	Korruption	Verdacht
Korruptionsvorwurf	Korruption	Vorwurf
Kortisoncreme	Kortison	Creme
Korvettenkapitän	Korvette	Kapitän
Koseform	kosen	Form
Kosename	kosen	Name
Kosewort	kosen	Wort
KO-Sieg	KO	Sieg
Kosinusfunktion	Kosinus	Funktion
Kosmetikartikel	Kosmetik	Artikel
Kosmetikbehandlung	Kosmetik	Behandlung
Kosmetikfirma	Kosmetik	Firma
Kosmetikgeschäft	Kosmetik	Geschäft
Kosmetikhersteller	Kosmetik	Hersteller
Kosmetikindustrie	Kosmetik	Industrie
Kosmetikkoffer	Kosmetik	Koffer
Kosmetikkonzern	Kosmetik	Konzern
Kosmetikladen	Kosmetik	Laden
Kosmetikmittel	Kosmetik	Mittel
Kosmetikprodukt	Kosmetik	Produkt
Kosmetiktasche	Kosmetik	Tasche
Kosmetikverkäufer	Kosmetik	Verkäufer
Kosmonautenkorps	Kosmonaut	Korps
Kosovo-Albaner	Kosovo	Albaner
Kosovokrieg	Kosovo	Krieg
Kostenabweichung	Kosten	Abweichung
Kostenanalyse	Kosten	Analyse
Kostenangebot	Kosten	Angebot
Kostenart	Kosten	Art
Kostenaufwand	Kosten	Aufwand
Kostenbeitrag	Kosten	Beitrag
Kostenbeteiligung	Kosten	Beteiligung
Kostendämpfung	Kosten	Dämpfung
Kostendaten	Kosten	Datum
Kostendeckung	Kosten	Deckung
Kostendeckungsgrad	Kostendeckung	Grad
Kostendruck	Kosten	Druck
Kosteneinsparung	Kosten	Einsparung
Kostenentwicklung	Kosten	Entwicklung
Kostenersparnis	Kosten	Ersparnis
Kostenerstattung	Kosten	Erstattung
Kostenexplosion	Kosten	Explosion
Kostenfaktor	Kosten	Faktor
Kostenfrage	Kosten	Frage
Kostengesichtspunkt	Kosten	Gesichtspunkt
Kostengründe	Kosten	Gründe
Kostengruppe	Kosten	Gruppe
Kostenkalkulation	Kosten	Kalkulation
Kostenkontrolle	Kosten	Kontrolle
Kosten-Nutzen-Analyse	Kosten Nutzen	Analyse
Kosten-Nutzen-Verhältnis	Kosten Nutzen	Verhältnis
Kostenpauschale	Kosten	Pauschale
Kostenpflicht	Kosten	Pflicht
Kostenplan	Kosten	Plan
Kostenpunkt	Kosten	Punkt
Kostenrahmen	Kosten	Rahmen
Kostenrechnung	Kosten	Rechnung
Kostenreduktion	Kosten	Reduktion
Kostenreduzierung	Kosten	Reduzierung
Kostensatz	Kosten	Satz
Kostensenkung	Kosten	Senkung
Kostensteigerung	Kosten	Steigerung
Kostenstelle	Kosten	Stelle
Kostenstellenkonto	Kostenstelle	Konto
Kostenstruktur	Kosten	Struktur
Kostenträger	Kosten	Träger
Kostenträgerrechnung	Kostenträger	Rechnung
Kostenübernahme	Kosten	Übernahme
Kostenverwaltung	Kosten	Verwaltung
Kostenvoranschlag	Kosten	Voranschlag
Kostenvorteil	Kosten	Vorteil
Kostenzuwachs	Kosten	Zuwachs
Kostprobe	kosten	Probe
Kostümball	Kostüm	Ball
Kostümbildner	Kostüm	Bildner
Kostümfest	Kostüm	Fest
Kostümfilm	Kostüm	Film
K.-o.-System	K.o.	System
Kotangensfunktion	Kotangens	Funktion
Kotfliege	Kot	Fliege
Kotflügel	Kot	Flügel
Kotprobe	Kot	Probe
Kotwespe	Kot	Wespe
KPD-Mitglied	KPD	Mitglied
KPD-Verbot	KPD	Verbot
Krabbelgruppe	krabbeln	Gruppe
Krabbelstube	krabbeln	Stube
Krabbencocktail	Krabbe	Cocktail
Krabbenspinne	Krabbe	Spinne
Krabbensuppe	Krabbe	Suppe
Krabbentaucher	Krabbe	Taucher
Krachsalat	krachen|Krach	Salat
Kraftakt	Kraft	Akt
Kraftanstrengung	Kraft	Anstrengung
Kraftaufwand	Kraft	Aufwand
Kraftausdruck	Kraft	Ausdruck
Kräftegleichgewicht	Kraft	Gleichgewicht
Krafteinheit	Kraft	Einheit
Krafteinwirkung	Kraft	Einwirkung
Kräftemessen	Kraft	Messen
Kraftentfaltung	Kraft	Entfaltung
Kräftespiel	Kraft	Spiel
Kräfteverhältnis	Kraft	Verhältnis
Kraftfahrer	Kraft	Fahrer
Kraftfahrtbundesamt	Kraftfahrt	Bundesamt
Kraftfahrzeug	Kraft	Fahrzeug
Kraftfahrzeugbau	Kraftfahrzeug	Bau
Kraftfahrzeugelektriker	Kraftfahrzeug	Elektriker
Kraftfahrzeug-Ersatzteil	Kraftfahrzeug	Ersatzteil
Kraftfahrzeughaltung	Kraftfahrzeug	Haltung
Kraftfahrzeuginstandsetzer	Kraftfahrzeug	Instandsetzer
Kraftfahrzeugkennzeichen	Kraftfahrzeug	Kennzeichen
Kraftfahrzeugmechaniker	Kraftfahrzeug	Mechaniker
Kraftfahrzeugpflege	Kraftfahrzeug	Pflege
Kraftfahrzeugschein	Kraftfahrzeug	Schein
Kraftfahrzeugsteuer	Kraftfahrzeug	Steuer
Kraftfahrzeugtechnik	Kraftfahrzeug	Technik
Kraftfahrzeugverkehr	Kraftfahrzeug	Verkehr
Kraftfahrzeugwesen	Kraftfahrzeug	Wesen
Kraftfahrzeugzubehör	Kraftfahrzeug	Zubehör
Kraftfeld	Kraft	Feld
Kraftfutter	Kraft	Futter
Kraftmaschine	Kraft	Maschine
Kraftomnibus	Kraft	Omnibus
Kraftprobe	Kraft	Probe
Kraftprotz	Kraft	Protz
Kraftrad	Kraft	Rad
Kraftraum	Kraft	Raum
Kraftreserve	Kraft	Reserve
Kraftsport	Kraft	Sport
Kraftstoff	Kraft	Stoff
Kraftstoffeinspritzung	Kraftstoff	Einspritzung
Kraftstoffleitung	Kraftstoff	Leitung
Kraftstoff-Luft-Gemisch	Kraftstoff Luft	Gemisch
Kraftstoffmenge	Kraftstoff	Menge
Kraftstoffpreis	Kraftstoff	Preis
Kraftstoffpumpe	Kraftstoff	Pumpe
Kraftstofftank	Kraftstoff	Tank
Kraftstoffverbrauch	Kraftstoff	Verbrauch
Krafttraining	Kraft	Training
Kraftübertragung	Kraft	Übertragung
Kraftverkehr	Kraft	Verkehr
Kraftwagen	Kraft	Wagen
Kraftwagen-Treibstoff	Kraftwagen	Treibstoff
Kraft-Wärme-Kopplung	Kraft Wärme	Kopplung
Kraftwerk	Kraft	Werk
Kraftwerkbetrieb	Kraftwerk	Betrieb
Kraftwerksanlage	Kraftwerk	Anlage
Kraftwerksbau	Kraftwerk	Bau
Kraftwerksbetreiber	Kraftwerk	Betreiber
Kraftwerksgelände	Kraftwerk	Gelände
Kraftwerksleistung	Kraftwerk	Leistung
Kragenbär	Kragen	Bär
Kragenblume	Kragen	Blume
Kragenente	Kragen	Ente
Kragengeißler	Kragen	Geißler
Kragenknopf	Kragen	Knopf
Kragenspiegel	Kragen	Spiegel
Kragstein	Krage	Stein
Krähenbeere	Krähe	Beere
Krähenscharbe	Krähe	Scharbe
Krähenvogel	Krähe	Vogel
Krähwinkel	krähen	Winkel
Krallenäffchen	Kralle	Äffchen
Krallenaffe	Kralle	Affe
Krallenfrosch	Kralle	Frosch
Krämerladen	Krämer	Laden
Kramladen	Kram	Laden
Krammetsbeere	Krammet	Beere
Krampfader	Krampf	Ader
Krampfanfall	Krampf|krampfen	Anfall
Kranbau	Kran	Bau
Kranführer	Kran	Führer
Kranichvogel	Kranich	Vogel
Krankenakte	Kranke	Akte
Krankenbeförderung	Kranke	Beförderung
Krankenbesuch	Kranke	Besuch
Krankenbesuchsdienst	Krankenbesuch	Dienst
Krankenbett	Kranke	Bett
Krankenblatt	Kranke	Blatt
Krankenfahrstuhl	Kranke	Fahrstuhl
Krankengeld	Kranke	Geld
Krankengeldbezüge	Krankengeld	Bezüge
Krankengeschichte	Kranke	Geschichte
Krankengymnast	Kranke	Gymnast
Krankengymnastik	Kranke	Gymnastik
Krankenhaus	Kranke	Haus
Krankenhausarzt	Krankenhaus	Arzt
Krankenhausaufenthalt	Krankenhaus	Aufenthalt
Krankenhausbehandlung	Krankenhaus	Behandlung
Krankenhausbetrieb	Krankenhaus	Betrieb
Krankenhausbett	Krankenhaus	Bett
Krankenhauseinweisung	Krankenhaus	Einweisung
Krankenhausgesellschaft	Krankenhaus	Gesellschaft
Krankenhauskittel	Krankenhaus	Kittel
Krankenhauspatient	Krankenhaus	Patient
Krankenhausseelsorge	Krankenhaus	Seelsorge
Krankenhausserie	Krankenhaus	Serie
Krankenhausträger	Krankenhaus	Träger
Krankenkasse	Kranke	Kasse
Krankenlager	Kranke	Lager
Krankenpflege	Kranke	Pflege
Krankenpflegehelfer	Kranke	Pflegehelfer
Krankenpflegekraft	Kranke	Pflegekraft
Krankenpfleger	Kranke	Pfleger
Krankenpflegeschule	Krankenpflege	Schule
Krankenprotokoll	Kranke	Protokoll
Krankensaal	Kranke	Saal
Krankensalbung	Kranke	Salbung
Krankenschein	Kranke	Schein
Krankenschwester	Kranke	Schwester
Krankenstand	Kranker	Stand
Krankenstation	Kranke	Station
Krankentrage	Kranke	Trage
Krankentransport	Kranke	Transport
Krankenversicherung	Kranke	Versicherung
Krankenversicherungsausweis	Krankenversicherung	Ausweis
Krankenversicherungskarte	Krankenversicherung	Karte
Krankenversicherungsleistung	Krankenversicherung	Leistung
Krankenversorgung	Kranke	Versorgung
Krankenvisite	Kranke	Visite
Krankenwagen	Kranke	Wagen
Krankenzimmer	Kranke	Zimmer
Krankheitsausbruch	Krankheit	Ausbruch
Krankheitsbeginn	Krankheit	Beginn
Krankheitsbezeichnung	Krankheit	Bezeichnung
Krankheitsbild	Krankheit	Bild
Krankheitsdauer	Krankheit	Dauer
Krankheitsentstehung	Krankheit	Entstehung
Krankheitserreger	Krankheit	Erreger
Krankheitsfall	Krankheit	Fall
Krankheitsgrund	Krankheit	Grund
Krankheitsherd	Krankheit	Herd
Krankheitsphase	Krankheit	Phase
Krankheitsprozess	Krankheit	Prozess
Krankheitsrisiko	Krankheit	Risiko
Krankheitsstadium	Krankheit	Stadium
Krankheitssymptom	Krankheit	Symptom
Krankheitstag	Krankheit	Tag
Krankheitsursache	Krankheit	Ursache
Krankheitsverlauf	Krankheit	Verlauf
Krankheitszustand	Krankheit	Zustand
Krankmeldung	krank	Meldung
Krankwerden	krank	Werden
Kranwasser	Kran	Wasser
Kranzfühler	Kranz	Fühler
Kranzgefäß	Kranz	Gefäß
Kranzgesims	Kranz	Gesims
Kranzkuchen	Kranz	Kuchen
Kranzniederlegung	Kranz	Niederlegung
Kranzschleife	Kranz	Schleife
Krappgewächs	Krapp	Gewächs
Kraterboden	Krater	Boden
Kratermittelpunkt	Krater	Mittelpunkt
Kraterrand	Krater	Rand
Kratersee	Krater	See
Kratzbeere	kratzen	Beere
Kratzdistel	kratzen	Distel
Kratzeisen	kratzen	Eisen
Krätzmilbe	Krätze	Milbe
Kratzspur	kratzen	Spur
Kratzwunde	kratzen	Wunde
Kratzwurm	kratzen	Wurm
Kraulschwimmer	Kraul	Schwimmer
Kraushaar	kraus	Haar
Krauskopf	kraus	Kopf
Krauskopfpelikan	Krauskopf	Pelikan
Kräuterbuch	Kraut	Buch
Kräuterbund	Kraut	Bund
Kräuterdieb	Kraut	Dieb
Kräuteressig	Kraut	Essig
Kräutereule	Kraut	Eule
Kräutergarten	Kraut	Garten
Kräuterlikör	Kraut	Likör
Kräuterschnaps	Kraut	Schnaps
Kräuterstrauß	Kraut	Strauß
Kräutersuppe	Kraut	Suppe
Kräutertee	Kraut	Tee
Krautrock	Kraut	Rock
Krautsalat	Kraut	Salat
Krautschicht	Kraut	Schicht
Krawallmacher	Krawall	Macher
Krawattennadel	Krawatte	Nadel
Krebsart	Krebs	Art
Krebsarzt	Krebs	Arzt
Krebsbehandlung	Krebs	Behandlung
Krebsentstehung	Krebs	Entstehung
